Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,socialbean
Tên gian hàng,Firgi Chính Hãng
Mã Người bán,1360341342
Thời gian tạo báo cáo,02/04/2026 08:45
Khoảng thời gian,01/03/2026 - 31/03/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm
1,Dụng Cụ Nấu Ăn Dặm Cho Bé Thìa (Phới) Dẹt Spatula Platinum Silicone Cao Cấp Firgi Hàn Quốc [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27768070025,-,Giá thầu Thủ công,Tất cả,09/02/2026 00:00:00,Không giới hạn,650145,15890,2.44%,1331,1043,8.38%,6.56%,22117.60,28224.86,1355,1050,364969613,277397313,29438526,12.40,9.42,8.07%,10.61%,-,-,-
2,Khay Trữ Đông Đồ Ăn Dặm Cho Bé Platinum Silicone Firgi Hàn Quốc Đa Năng Có Nắp Đậy Kín Khí [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,26373395973,-,Giá thầu Thủ công,Tất cả,13/01/2026 00:00:00,Không giới hạn,192241,4719,2.45%,337,184,7.14%,3.90%,31363.68,57443.26,433,273,126806086,81858491,10569560,12.00,7.74,8.34%,12.91%,-,-,-
3,Muỗng (Thìa) Ăn Dặm Platinum Silicone Firgi Hàn Quốc Hai Giai Đoạn Cho Bé (Kèm Hộp Đựng) [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,26315047320,-,Giá thầu Thủ công,Tất cả,19/01/2026 00:00:00,Không giới hạn,136557,3087,2.26%,132,85,4.28%,2.75%,25586.56,39734.42,137,86,32078737,18389681,3377426,9.50,5.44,10.53%,18.37%,-,-,-
4,Thớt Platinum Silicone Firgi Hàn Quốc Kháng Khuẩn Hai Mặt An Toàn Chế Biến Thức Ăn Dặm Cho Bé [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27968063422,-,Giá thầu Thủ công,Tất cả,20/01/2026 00:00:00,31/12/2026 23:59:59,130958,2460,1.88%,108,60,4.39%,2.44%,55128.12,99230.61,111,62,38870149,25488174,5953837,6.53,4.28,15.32%,23.36%,-,-,-
5,Rây Lọc Thức Ăn Dặm Firgi Chính Hãng Bằng Thép Không Gỉ 304 An Toàn Cho Bé 8cm & 12cm [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24938119186,-,Giá thầu Thủ công,Tất cả,06/02/2026 00:00:00,Không giới hạn,86543,1934,2.23%,65,38,3.36%,1.96%,42728.52,73088.26,65,38,16146804,9103316,2777354,5.81,3.28,17.20%,30.51%,-,-,-
6,Bộ 3 Thớt Nhựa TPU Firgi Hàn Quốc Kháng Khuẩn An Toàn Chế Biến Thức Ăn Dặm Cho Bé,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,28924969495,-,Giá thầu Thủ công,Tất cả,09/02/2026 00:00:00,Không giới hạn,68577,788,1.15%,27,5,3.43%,0.63%,99357.38,536529.84,27,5,8519200,2864454,2682649,3.18,1.07,31.49%,93.65%,-,-,-
7,Bộ 3 Hũ Thủy Tinh Đựng Thức Ăn Dặm Cho Bé Firgi Hàn Quốc Có Vạch Chia Dung Tích (Kèm Nắp Đậy) [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,28266998176,-,Giá thầu Thủ công,Tất cả,27/02/2026 00:00:00,Không giới hạn,65748,1792,2.73%,102,38,5.69%,2.12%,33244.12,89234.21,117,39,37422000,11833900,3390900,11.04,3.49,9.06%,28.65%,-,-,-
8,Muỗng Nấu Ăn Đa Năng Platinum Silicone Firgi Hàn Quốc An Toàn Chịu Nhiệt Cao Cán Dài 29cm [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,28968076317,-,Giá thầu Thủ công,Tất cả,17/03/2026 00:00:00,Không giới hạn,37737,1122,2.97%,17,11,1.52%,0.98%,139276.47,215245.46,17,11,4558500,2988900,2367700,1.93,1.26,51.94%,79.22%,-,-,-
9,Dụng Cụ Nấu Ăn Dặm Cho Bé (Thìa) Phới Dẹt Topping Spatula Platinum Silicone Firgi Hàn Quốc [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,26171635102,-,Tối đa Doanh thu Tối ưu ROAS bởi Hệ thống,Tất cả,21/03/2026 00:00:00,03/04/2026 23:59:59,30563,871,2.85%,111,34,12.74%,3.90%,26115.78,85260.35,116,35,32806118,8211500,2898852,11.32,2.83,8.84%,35.30%,-,-,-
10,"Bộ 2 Bình Sữa PPSU Firgi Hàn Quốc Kèm Núm Ti Siêu Nhẹ, Chống Sặc & Đầy Hơi 200ml/ 280ml [3]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29167036787,-,Tối đa Doanh thu Tối ưu ROAS bởi Hệ thống,Tất cả,21/03/2026 00:00:00,Không giới hạn,14500,273,1.88%,5,1,1.83%,0.37%,129185.43,645927.15,5,1,2371450,811750,645927,3.67,1.26,27.24%,79.57%,-,-,-
11,Ly Cốc Tập Uống Nước Cho Bé Firgi Hàn Quốc An Toàn Chống Đổ (Kèm Ống Hút),Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,56751041568,-,Tối đa Doanh thu Tối ưu ROAS bởi Hệ thống,Tất cả,21/03/2026 00:00:00,03/04/2026 23:59:59,13748,281,2.04%,12,8,4.27%,2.85%,65073.46,97610.19,13,9,4708700,3869100,780882,6.03,4.95,16.58%,20.18%,-,-,-
12,"Túi Nhai Silicone Ăn Dặm Chống Hóc Cho Bé Firgi Hàn Quốc, Túi Nhai Trái Cây, Núm Nhai Hình Trái Tim [4]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,28766182939,-,Tối đa Doanh thu Tối ưu ROAS bởi Hệ thống,Tất cả,18/12/2024 00:00:00,Không giới hạn,10384,137,1.32%,19,9,13.87%,6.57%,24186.42,51060.23,19,9,5158500,2224100,459542,11.23,4.84,8.91%,20.66%,-,-,-
13,Muỗng Thìa Ăn Dặm Platinum Silicone Firgi Hàn Quốc An Toàn Hình Động Vật (Kèm Hộp Đựng) [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,28113594014,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,28/03/2026 00:00:00,Không giới hạn,5413,147,2.72%,7,5,4.76%,3.40%,42118.35,58965.68,7,5,1604300,1029500,294828,5.44,3.49,18.38%,28.64%,-,-,-
14,Bộ Muỗng Ăn Dặm Silicone Hai Giai Đoạn Standard145 Hàn Quốc Hai Giai Đoạn Cho Bé (Kèm Hộp Đựng),Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27779995431,-,Tối đa Doanh thu Tối ưu ROAS bởi Hệ thống,Tất cả,28/03/2026 00:00:00,Không giới hạn,4393,92,2.09%,12,2,13.04%,2.17%,40183.50,241101.03,13,2,5103100,549800,482202,10.58,1.14,9.45%,87.70%,-,-,-
15,Muỗng Thìa Ăn Dặm Platinum Silicone Firgi Hàn Quốc An Toàn Hình Động Vật (Kèm Hộp Đựng) [3],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,28113594014,-,Giá thầu Thủ công,Tất cả,06/02/2026 00:00:00,Không giới hạn,49140,1075,2.19%,30,8,2.79%,0.74%,41875.83,157034.38,32,10,9957300,2094000,1256275,7.93,1.67,12.62%,59.99%,-,-,-
16,Bát Ăn Dặm Silicone Little Cloud Hình Gấu Dễ Thương Có Đế Hít Cho Bé Tập Ăn Dặm 240ml [2],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,28072485675,-,Giá thầu Thủ công,Tất cả,06/02/2026 00:00:00,Không giới hạn,30641,624,2.04%,5,1,0.80%,0.16%,89856.00,449280.00,5,1,1754700,219900,449280,3.91,0.49,25.60%,204.31%,-,-,-
17,Dụng Cụ Nấu Ăn Dặm Cho Bé Thìa (Phới) Dẹt Spatula Platinum Silicone Cao Cấp Firgi Hàn Quốc [4],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,27768070025,-,Tối đa Doanh thu Tối ưu ROAS bởi Hệ thống,Tất cả,23/03/2026 00:00:00,Không giới hạn,5145,131,2.55%,12,10,9.16%,7.63%,60212.36,72254.83,12,10,3219000,2599200,722548,4.46,3.60,22.45%,27.80%,-,-,-
18,"Bộ 2 Bình Sữa PPSU Firgi Hàn Quốc Kèm Núm Ti Siêu Nhẹ, Chống Sặc & Đầy Hơi 200ml/ 280ml [2]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,29167036787,-,Giá thầu Thủ công,Tất cả,19/03/2026 00:00:00,Không giới hạn,1889,25,1.32%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,27233,0.00,0.00,0.00%,0.00%,-,-,-
19,Khay Ăn Dặm Platinum Silicone Firgi Hàn Quốc Hình Mèo Chia Ngăn Có Đế Hít Chống Đổ Cho Bé Ăn Dặm [4],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28273391727,-,Giá thầu Thủ công,Tất cả,10/03/2026 00:00:00,16/03/2026 22:25:33,17603,349,1.98%,3,1,0.86%,0.29%,177218.26,531654.77,3,1,1399800,874900,531655,2.63,1.65,37.98%,60.77%,-,-,-
20,Shop Ads (T12.2025 - T12.2026),Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,17/12/2025 00:00:00,31/12/2026 23:59:59,214072,6895,3.22%,798,671,11.57%,9.73%,25215.20,29987.68,868,739,254088741,224870328,20121732,12.63,11.18,7.92%,8.95%,1010610,1744,0.17%
